349,209
346,212
346,223
348,225
349,225
352,228
352,250
351,251
351,263
352,264
352,282
353,283
353,319
352,320
351,320
349,322
349,335
347,337
326,337
325,338
294,338
293,339
265,339
264,340
247,340
244,343
244,358
246,360
247,360
248,361
253,361
254,360
279,360
280,359
307,359
308,358
347,358
348,357
363,357
364,356
365,356
365,355
366,354
366,331
365,330
365,323
364,322
364,321
362,319
362,318
361,317
361,280
360,279
360,261
359,260
359,254
360,253
360,227
362,225
363,225
363,224
364,223
364,212
363,211
363,210
362,209
